H00001 NP_001005484.1
H00002 XP_001133863.2
H00003 XP_002344292.1
H00004 NP_001005221.2
H00005 NP_001005277.1
H00006 XP_002342052.1
H00007 NP_689699.2
H00008 NP_056473.2
H00009 NP_938073.1
H00010 NP_115505.2
H00011 NP_001153656.1
H00012 NP_066993.1
H00013 NP_001135939.1
H00014 NP_005092.1
H00015 NP_940978.2
H00016 XP_002342066.1
H00017 NP_060361.4
H00018 XP_003118541.1
H00019 NP_001123517.1
H00020 NP_694986.2
H00021 NP_683699.1
H00022 NP_004186.1
H00023 NP_683700.1
H00024 NP_003318.1
H00025 NP_057260.2
H00026 NP_057631.1
H00027 NP_542172.2
H00028 NP_001014980.1
H00029 NP_477515.2
H00030 NP_919296.1
H00031 NP_919439.1
H00032 NP_919440.1
H00033 NP_001123885.1
H00034 NP_002969.2
H00035 NP_085152.2
H00036 NP_699170.1
H00037 NP_060341.2
H00038 NP_001025056.1
H00039 NP_689414.1
H00040 NP_004412.2
H00041 NP_115724.1
H00042 NP_060370.1
H00043 NP_001120701.1
H00044 NP_001120702.1
H00045 NP_112199.2
H00046 NP_001034666.1
H00047 NP_060441.2
H00048 NP_001138682.1
H00049 NP_001140157.1
H00050 NP_073745.2
H00051 NP_954572.2
H00052 NP_001034300.2
H00053 NP_114127.3
H00054 NP_060658.3
H00055 NP_001164006.1
H00056 NP_001164007.1
H00057 NP_001108220.1
H00058 NP_054907.1
H00059 NP_543151.2
H00060 NP_001164157.1
H00061 NP_001164158.1
H00062 NP_001164159.1
H00063 NP_001164160.1
H00064 NP_008914.1
H00065 NP_277021.1
H00066 NP_277027.1
H00067 NP_277028.1
H00068 NP_277023.1
H00069 NP_277024.1
H00070 NP_277022.1
H00071 NP_001104251.1
H00072 NP_277071.2
H00073 NP_076916.2
H00074 NP_878258.1
H00075 NP_075394.3
H00076 NP_002065.1
H00077 NP_619650.2
H00078 NP_848640.1
H00079 NP_001073953.1
H00080 NP_000806.2
H00081 NP_002735.3
H00082 NP_001028753.1
H00083 NP_001028754.1
H00084 XP_003118542.1
H00085 NP_001139782.1
H00086 NP_872339.2
H00087 NP_003027.1
H00088 NP_079124.1
H00089 NP_008964.3
H00090 NP_002608.1
H00091 NP_722540.1
H00092 NP_055453.2
H00093 NP_060686.1
H00094 NP_001010926.1
H00095 NP_003811.2
H00096 NP_689584.1
H00097 NP_258428.2
H00098 XP_002342056.1
H00099 NP_536356.3
H00100 NP_955533.2
H00101 NP_071397.3
H00102 NP_055263.2
H00103 NP_001400.3
H00104 NP_877429.2
H00105 NP_060288.3
H00106 XP_003118543.1
H00107 NP_005418.1
H00108 NP_001119712.1
H00109 NP_001119713.1
H00110 NP_001119714.1
H00111 NP_689705.2
H00112 NP_001157196.1
H00113 NP_065761.1
H00114 NP_055519.1
H00115 NP_004393.1
H00116 NP_997239.2
H00117 NP_001035943.1
H00118 NP_061324.1
H00119 NP_055917.1
H00120 NP_003627.1
H00121 NP_742128.1
H00122 NP_056372.1
H00123 NP_000974.1
H00124 NP_997279.2
H00125 NP_036537.1
H00126 NP_001019769.1
H00127 NP_997253.2
H00128 NP_009205.3
H00129 NP_863654.1
H00130 NP_863655.1
H00131 NP_863656.1
H00132 NP_061962.2
H00133 NP_113663.2
H00134 NP_003781.1
H00135 NP_683866.1
H00136 NP_683867.1
H00137 NP_683868.1
H00138 NP_683871.1
H00139 NP_001034753.1
H00140 NP_941374.2
H00141 NP_001036128.1
H00142 NP_001036129.1
